customer,total_spent,segment
Customer_015,82964.76000000001,Gold
Customer_035,75402.52,Gold
Customer_048,62293.77,Gold
Customer_024,57381.21,Gold
Customer_006,50249.740000000005,Gold
Customer_004,50106.56,Gold
Customer_032,45532.0,Gold
Customer_044,43513.88,Gold
Customer_016,42754.07,Gold
Customer_017,41983.05,Gold
Customer_030,40286.060000000005,Gold
Customer_023,39687.91,Gold
Customer_028,37523.1,Gold
Customer_039,34473.76,Gold
Customer_005,33597.8,Gold
Customer_029,32249.690000000002,Gold
Customer_022,31234.39,Gold
Customer_021,30646.51,Gold
Customer_043,24791.010000000002,Gold
Customer_002,24005.600000000002,Gold
Customer_045,23946.48,Gold
Customer_046,23702.879999999997,Gold
Customer_001,22464.64,Gold
Customer_042,21768.86,Gold
Customer_047,21011.84,Gold
Customer_018,20151.72,Gold
Customer_026,19532.879999999997,Gold
Customer_014,16432.94,Gold
Customer_037,15955.06,Gold
Customer_036,15344.219999999998,Gold
Customer_007,14507.439999999999,Silver
Customer_011,14371.66,Silver
Customer_025,14327.01,Silver
Customer_041,14174.79,Silver
Customer_033,13812.050000000001,Silver
Customer_008,12996.25,Silver
Customer_027,12819.47,Silver
Customer_020,10974.529999999999,Silver
Customer_019,10238.57,Silver
Customer_003,10071.279999999999,Silver
Customer_040,8618.6,Silver
Customer_050,3933.3,Bronze
Customer_010,3694.54,Bronze
Customer_013,3684.98,Bronze
Customer_009,1896.0,Bronze
Customer_049,1337.52,Bronze
Customer_031,935.8499999999999,Bronze
Customer_034,280.44,Bronze
Customer_038,269.73,Bronze
