sale_id,sale_date,customer,product,category,region,quantity,unit_price
1,2024-05-20,Customer_035,Mouse,Peripherals,Southeast,2.0,102.9
2,2024-02-17,Customer_042,  Keyboard,Peripherals,North,7.0,214.88
3,2024-05-22,Customer_022,Monitor,Computers,Northeast,4.0,
4,2024-06-21,Customer_017,Smartphone,Mobile Devices,Southeast,4.0,2501.76
5,2024-07-12,Customer_024,Mouse,Peripherals,North,8.0,121.3
6,2024-04-26,Customer_025,Smartphone,Mobile Devices,Northeast,2.0,1900.24
7,2024-06-30,Customer_039,Monitor,Computers,South,6.0,1078.56
8,2024-07-13,Customer_021,Keyboard,Peripherals,Southeast,4.0,224.76
9,2024-07-24,Customer_021,Smartphone,Mobile Devices,South,1.0,2401.33
10,2024-11-25,Customer_017,Mouse,Peripherals,North,8.0,116.24
11,2024-04-22,Customer_008,Monitor,Computers,South,10.0,1163.78
12,2024-08-04,Customer_017,Mouse,Peripherals,North,3.0,130.51
13,2024-02-28,Customer_008,Headset,Peripherals,Northeast,1.0,368.93
14,2024-05-14,Customer_041,Monitor,Computers,Northeast,3.0,1183.34
15,2024-03-19,Customer_001,Headset,Peripherals,North,9.0,361.44
16,2024-07-04,Customer_037,Tablet,Mobile Devices,Southeast,8.0,1540.52
17,2024-09-29,Customer_017,Notebook,Computers,North,8.0,3831.82
18,2024-04-18,Customer_026,Headset,Peripherals,Northeast,10.0,341.93
19,2024-05-06,Customer_015,Monitor,Computers,Southeast,9.0,1182.54
20,2024-01-17,Customer_014,Notebook,Computers,North,1.0,3215.39
21,2024-05-04,Customer_028,Smartphone,Mobile Devices,Northeast,10.0,2250.3
22,2024-01-28,Customer_022,Monitor,Computers,Southeast,7.0,1188.13
23,2024-08-17,Customer_005,Smartphone,Mobile Devices,Midwest,4.0,1995.54
24,2024-11-29,Customer_016,Headset,Peripherals,South,9.0,307.78
25,2024-07-24,Customer_030,  Monitor,Computers,Northeast,8.0,1193.29
26,2024-09-06,Customer_035,Monitor,Computers,Southeast,9.0,1258.27
27,2024-10-26,Customer_033,Mouse,Peripherals,Southeast,6.0,104.06
28,2024-02-04,Customer_016,Headset,Peripherals,North,3.0,304.69
29,2024-08-02,Customer_043,Keyboard,Peripherals,Northeast,1.0,258.95
30,2024-12-09,Customer_001,Smartphone,Mobile Devices,Midwest,5.0,2131.22
31,2024-02-07,Customer_005,Keyboard,Peripherals,South,10.0,287.21
32,2024-10-05,Customer_001,Tablet,Mobile Devices,North,5.0,1615.18
33,2024-03-09,Customer_019,Tablet,Mobile Devices,North,2.0,2037.02
34,2024-11-20,Customer_004,Smartphone,Mobile Devices,Southeast,6.0,2004.37
35,2024-01-23,Customer_048,Mouse,Peripherals,Midwest,,131.86
36,2024-02-27,Customer_024,Keyboard,Peripherals,North,7.0,254.57
37,2024-01-22,Customer_023,Keyboard,Peripherals,South,3.0,244.73
38,2024-06-30,Customer_010,Mouse,Peripherals,South,4.0,126.01
39,2024-03-31,Customer_027,Headset,Peripherals,South,3.0,
40,2024-02-25,Customer_030,Tablet,Mobile Devices,Northeast,3.0,
41,2024-12-03,Customer_018,Tablet,Mobile Devices,Northeast,4.0,1650.38
42,2024-10-01,Customer_038,Mouse,Peripherals,Northeast,9.0,
43,2024-06-25,Customer_025,Notebook,Computers,North,2.0,3601.4
44,2024-08-11,Customer_048,Smartphone,Mobile Devices,South,,1899.3
45,2024-12-06,Customer_020,Tablet,Mobile Devices,North,7.0,1567.79
46,2024-12-22,Customer_044,Tablet,Mobile Devices,South,7.0,1706.14
47,2024-10-07,Customer_039,Keyboard,Peripherals,Northeast,10.0,235.07
48,2024-04-19,Customer_043,Monitor,Computers,Southeast,8.0,1179.18
49,2024-11-13,Customer_015,Tablet,Mobile Devices,South,9.0,1888.48
50,2024-08-31,Customer_037,Smartphone,Mobile Devices,South,1.0,1900.5
51,2024-05-04,Customer_007,Mouse,Peripherals,Midwest,7.0,119.8
52,2024-12-22,Customer_030,Smartphone,Mobile Devices,South,3.0,2400.71
53,2024-10-13,Customer_047,Headset,Peripherals,North,8.0,367.6
54,2024-03-22,Customer_041,Monitor,Computers,Northeast,9.0,1180.53
55,2024-05-02,Customer_021,Headset,Peripherals,North,9.0,348.38
56,2024-07-15,Customer_035,Notebook,Computers,Midwest,3.0,3133.37
57,INVALID DATE,Customer_049,Monitor,Computers,North,1.0,1094.46
58,2024-06-29,Customer_035,Monitor,Computers,North,8.0,1022.12
59,2024-09-06,Customer_044,  Headset,Peripherals,Midwest,10.0,391.77
60,2024-03-06,Customer_043,Mouse,Peripherals,Southeast,3.0,132.26
61,2024-08-24,Customer_022,Notebook,Computers,Midwest,7.0,3117.48
62,2024-02-11,Customer_015,Tablet,Mobile Devices,Southeast,7.0,1666.23
63,2024-05-06,Customer_043,Headset,Peripherals,Southeast,1.0,
64,2024-05-11,Customer_008,Keyboard,Peripherals,South,4.0,247.38
65,2024-06-08,Customer_013,Tablet,Mobile Devices,Southeast,2.0,1842.49
66,2024-06-03,Customer_003,Keyboard,Peripherals,Northeast,4.0,220.14
67,2024-02-05,Customer_007,Keyboard,Peripherals,Midwest,7.0,262.11
68,2024-08-10,Customer_035,Tablet,Mobile Devices,Midwest,8.0,1911.95
69,2024-10-30,Customer_029,Monitor,Computers,South,7.0,1317.26
70,2024-12-08,Customer_014,Headset,Peripherals,Northeast,8.0,
71,2024-11-01,Customer_006,  Headset,Peripherals,South,5.0,333.24
72,2024-05-03,Customer_006,Mouse,Peripherals,Northeast,7.0,119.59
73,2024-06-05,Customer_048,Smartphone,Mobile Devices,North,7.0,2326.58
74,2024-05-18,Customer_048,Tablet,Mobile Devices,North,6.0,1909.54
75,2024-09-04,Customer_007,Headset,Peripherals,South,3.0,317.61
76,2024-06-03,Customer_036,Tablet,Mobile Devices,Northeast,,1724.88
77,2024-09-08,Customer_022,Mouse,Peripherals,South,3.0,
78,2024-09-01,Customer_044,Notebook,Computers,Southeast,5.0,3963.12
79,2024-06-04,Customer_039,Smartphone,Mobile Devices,North,3.0,2405.35
80,2024-08-14,Customer_004,Smartphone,Mobile Devices,North,9.0,2121.05
81,2024-04-16,Customer_036,Mouse,Peripherals,Southeast,2.0,136.11
